Fecha,Clics,Impresiones,CTR,Posición
2026-05-31,0,2,0%,60
2026-06-01,0,2,0%,10
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,28,0%,61.1
2026-06-05,0,28,0%,4.9
2026-06-06,0,12,0%,41.3
2026-06-07,0,1,0%,66
2026-06-08,0,1,0%,1
2026-06-09,0,0,,
2026-06-10,0,22,0%,31.1
2026-06-11,0,3,0%,46.3
2026-06-12,0,4,0%,35.5
2026-06-13,0,4,0%,45
2026-06-14,0,18,0%,64.3
2026-06-15,1,8,12.5%,21.8
2026-06-16,0,3,0%,4.7
2026-06-17,0,19,0%,23.8
2026-06-18,0,4,0%,25.5
2026-06-19,0,5,0%,9.4
2026-06-20,0,16,0%,34.6
2026-06-21,0,2,0%,18
2026-06-22,1,20,5%,19.4
2026-06-23,0,3,0%,11.7
2026-06-24,1,23,4.35%,20
2026-06-25,0,10,0%,13.2
2026-06-26,0,2,0%,25.5
2026-06-27,0,5,0%,19
2026-06-28,0,29,0%,50.9
2026-06-29,0,6,0%,25.2
2026-06-30,0,4,0%,21.2
2026-07-01,0,29,0%,15.7
2026-07-02,0,12,0%,23.9
2026-07-03,0,11,0%,26.1
2026-07-04,0,12,0%,25.4
2026-07-05,0,16,0%,27.3
2026-07-06,0,14,0%,17.6
2026-07-07,0,19,0%,24.9
2026-07-08,0,36,0%,26.9
2026-07-09,0,12,0%,23.8
2026-07-10,0,9,0%,9.7
2026-07-11,0,18,0%,34.1
2026-07-12,0,27,0%,41
2026-07-13,0,28,0%,27.1
2026-07-14,0,22,0%,9.8
2026-07-15,1,29,3.45%,21
2026-07-16,0,12,0%,27.8
2026-07-17,0,38,0%,16.2
2026-07-18,0,11,0%,24.9
2026-07-19,0,14,0%,16.4
2026-07-20,0,28,0%,31.6
2026-07-21,0,17,0%,13.5
2026-07-22,0,15,0%,17.9
2026-07-23,0,33,0%,11.3
2026-07-24,0,20,0%,30.2
2026-07-25,0,19,0%,28.4
2026-07-26,0,11,0%,48.9
2026-07-27,0,26,0%,27.6
2026-07-28,0,12,0%,22
2026-07-29,0,10,0%,17
2026-07-30,0,31,0%,19.2
2026-07-31,0,6,0%,10.7
2026-08-01,0,21,0%,28.5
2026-08-02,0,11,0%,24.8
2026-08-03,0,16,0%,27.5
2026-08-04,0,19,0%,14.1
2026-08-05,0,28,0%,39.5
2026-08-06,0,36,0%,22.5
2026-08-07,0,7,0%,13.9
2026-08-08,0,13,0%,22.7
2026-08-09,0,36,0%,49.4
2026-08-10,1,24,4.17%,26.1
2026-08-11,0,16,0%,7
2026-08-12,0,15,0%,15.8
2026-08-13,0,31,0%,11.8
2026-08-14,0,10,0%,15.3
2026-08-15,0,19,0%,39.8
2026-08-16,0,19,0%,11.6
2026-08-17,0,21,0%,22.5
2026-08-18,0,20,0%,12.9
2026-08-19,0,14,0%,9
2026-08-20,0,27,0%,9.5
2026-08-21,0,17,0%,12.6
2026-08-22,0,25,0%,21
2026-08-23,0,51,0%,45.8
2026-08-24,0,27,0%,18.4
2026-08-25,0,24,0%,12.8
2026-08-26,0,25,0%,20.5
2026-08-27,0,37,0%,9.3
2026-08-28,0,17,0%,10.6
2026-08-29,0,22,0%,18
2026-08-30,0,20,0%,11
2026-08-31,1,50,2%,19.3
2026-09-01,0,29,0%,13.2
2026-09-02,0,16,0%,12.2
2026-09-03,0,35,0%,8.5
2026-09-04,0,14,0%,12.4
2026-09-05,1,32,3.12%,15.6
2026-09-06,0,44,0%,44.4
2026-09-07,0,32,0%,17
2026-09-08,0,14,0%,15.3
2026-09-09,0,18,0%,13.6
2026-09-10,1,25,4%,10.3
2026-09-11,1,35,2.86%,7.5
2026-09-12,0,9,0%,28.1
2026-09-13,0,14,0%,20.9
2026-09-14,0,18,0%,17.8
